                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9651,                 3.5046,                 3.9666,                 1.6696,                0.00185,                 0.0203,                0.00109,                0.00019,                0.00247,                0.02569,                0.00141,                0.00024,                 1.5028,                 2.8496,                 3.8947,                 1.5181,                  0.091,                  0.001,                  0.001
                      1,                 1.6357,                 2.9497,                 3.7083,                 1.3696,                0.01149,                0.12281,                0.01948,                0.00632,                0.01123,                0.12314,                0.01731,                0.00549,                 1.2298,                 2.8224,                 3.6615,                 1.2234,               0.081074,               0.002074,               0.002074
                      2,                 1.5174,                 2.7199,                 3.3973,                 1.2719,                0.03828,                0.28576,                0.06953,                0.03894,                0.03661,                0.27589,                0.07256,                0.03534,                 1.1752,                 2.3183,                 3.5084,                 1.1684,               0.071121,              0.0031208,              0.0031208
                      3,                 1.5046,                 2.6401,                 2.9778,                  1.222,                0.04252,                0.19369,                0.07478,                0.05363,                 0.0403,                0.18354,                0.06335,                0.04422,                 1.1545,                 2.6225,                 3.2001,                 1.1024,                0.06114,              0.0041404,              0.0041404
                      4,                 1.5071,                 2.5558,                 2.5464,                 1.2172,                0.07601,                0.80208,                 0.2604,                  0.173,                0.07547,                  0.798,                 0.2413,                0.12528,                 1.1658,                 2.3837,                 2.8868,                 1.1163,               0.051133,              0.0051327,              0.0051327
                      5,                 1.6265,                 2.6468,                 2.2968,                  1.262,                0.08032,                0.84822,                0.30732,                0.21937,                 0.0794,                0.83769,                0.30233,                0.18698,                 1.1372,                 2.1485,                 2.6669,                 1.0947,               0.041098,              0.0060978,              0.0060978
                      6,                 1.5204,                 2.4044,                 2.0682,                 1.2012,                0.08279,                0.86899,                0.36476,                0.25187,                0.07925,                0.83474,                0.34924,                0.20553,                 1.2075,                 2.2789,                 2.5966,                 1.0915,               0.031036,              0.0070357,              0.0070357
                      7,                 1.5567,                 2.4892,                  1.962,                 1.2256,                0.41411,                0.20214,                0.29914,                0.18879,                0.37555,                0.19667,                0.26625,                0.16624,                 1.2648,                    2.3,                 2.3225,                 1.1438,               0.020946,              0.0079464,              0.0079464
                      8,                 1.4894,                 2.5426,                 1.8224,                 1.1983,                0.33149,                0.25146,                0.32795,                 0.2243,                 0.3493,                0.25332,                0.32687,                 0.2014,                 1.1701,                 2.1604,                 2.2122,                 1.1024,                0.01083,              0.0088298,              0.0088298
                      9,                 1.5542,                 2.5368,                 1.7325,                  1.241,                0.24332,                0.24804,                 0.3358,                0.20522,                0.25824,                0.25935,                0.33284,                0.19087,                  1.276,                 2.2162,                 2.2467,                 1.1736,              0.0088863,              0.0088863,              0.0088863
                     10,                 1.4912,                 2.4047,                 1.6783,                  1.219,                0.34551,                0.26802,                0.31515,                0.19586,                 0.3609,                0.27277,                0.32329,                0.19896,                 1.2976,                 2.0504,                 2.0525,                 1.1677,              0.0088863,              0.0088863,              0.0088863
                     11,                 1.4335,                 2.2621,                 1.6251,                 1.2039,                0.39267,                0.31435,                0.34731,                0.21672,                0.40997,                0.31061,                0.35404,                0.21064,                  1.292,                 2.2303,                 1.8471,                 1.1788,              0.0087625,              0.0087625,              0.0087625
                     12,                 1.3832,                 2.2755,                 1.5283,                 1.1882,                0.46474,                0.20359,                0.19946,                0.14272,                0.45992,                0.20257,                0.19936,                0.14445,                   1.36,                 2.1396,                 1.8562,                 1.2501,              0.0086388,              0.0086388,              0.0086388
                     13,                 1.3612,                 2.1911,                 1.4659,                 1.1832,                0.59482,                0.38825,                0.39926,                0.27394,                0.59862,                0.38676,                0.40016,                0.26608,                 1.2229,                 1.9445,                 1.7876,                 1.1739,               0.008515,               0.008515,               0.008515
                     14,                 1.3759,                 2.1711,                 1.3653,                 1.1985,                0.63763,                0.41909,                0.47768,                 0.3423,                0.63615,                  0.413,                0.47113,                0.32316,                 1.0688,                 1.8354,                 1.4464,                 1.0856,              0.0083913,              0.0083913,              0.0083913
                     15,                   1.33,                 2.2364,                 1.3075,                 1.1594,                0.70942,                0.45691,                0.50023,                0.36439,                0.75779,                0.41179,                0.47534,                0.33148,                 1.0693,                 1.8425,                  1.273,                 1.0706,              0.0082675,              0.0082675,              0.0082675
                     16,                 1.4037,                 2.3141,                 1.2452,                 1.1926,                0.80842,                0.42649,                0.51537,                 0.3498,                0.85512,                 0.4078,                0.50584,                0.33064,                 1.2412,                 2.0002,                  1.242,                 1.1479,              0.0081437,              0.0081437,              0.0081437
                     17,                 1.3284,                 2.1354,                 1.2026,                 1.1774,                0.67588,                0.41794,                 0.4741,                0.35453,                0.76674,                0.38138,                 0.4666,                0.31344,                 1.0595,                 1.8423,                 1.4963,                 1.0891,                0.00802,                0.00802,                0.00802
                     18,                 1.3016,                 2.1129,                 1.1483,                 1.1573,                0.85674,                0.73474,                0.84236,                0.60363,                0.86402,                0.73984,                 0.8403,                0.53742,                 1.0505,                 1.7562,                 1.0716,                 1.0704,              0.0078963,              0.0078963,              0.0078963
